ID,Famille,Catégorie,Nom français,Nom court,Type,Numéro,rue,Étage,Bureau,Ville,Code postal,Arrondissement,Classification,Longitude,Latitude
3243,Culturel,Lieu de diffusion,Centre Design et Impression Textile,,Galerie d'art,4710,Rue Saint-Ambroise,0,326,Montréal,H4C 2C7,Le Sud-Ouest,niveau 4,-73.58580619,45.47039262
3244,Culturel,Lieu de diffusion,Arsenal Art Contemporain,,Galerie d'art,2020,Rue William,0, ,Montréal,H3J 1R8,Le Sud-Ouest,niveau 4,-73.56919119,45.48551759
3245,Récréatif / sportif,Équipement communautaire,La Ruche d'art Saint Henri,,Organisme communautaire et centre de loisirs,4525,Rue Saint-Jacques,0, ,Montréal,H4C 1K3,Le Sud-Ouest,niveau 3,-73.59133828,45.47567355
3246,Récréatif / sportif,Équipement communautaire,Mission Bon Accueil,,Organisme communautaire et centre de loisirs,4755,Rue Acorn,0, ,Montréal,H4C 3L6,Le Sud-Ouest,niveau 3,-73.5912337,45.47301354
3247,Service public,Transport,Métro Vendôme,Vendôme,Station de métro,5160,Boulevard De Maisonneuve Ouest,0, ,Montréal,H4A 3S9,Côte-des-Neiges–Notre-Dame-de-Grâce,niveau 1,-73.60381999,45.47391007
3248,Service public,Transport,Métro Villa-Maria,Villa-Maria,Station de métro,4331,Boulevard Décarie,0, ,Montréal,H4A 3K4,Ville-Marie,niveau 1,-73.61977987,45.47957483
3249,Service public,Transport,Métro Snowdown,Snowdown,Station de métro,5111,Chemin Queen-Mary,0, ,Montréal,H3W 1X4,Côte-des-Neiges–Notre-Dame-de-Grâce,niveau 1,-73.62796347,45.48547147
3250,Service public,Transport,Métro Namur,Namur,Station de métro,7405,Boulevard Décarie,0, ,Montréal,H4P 2G9,Côte-des-Neiges–Notre-Dame-de-Grâce,niveau 1,-73.6529522,45.49498123
3251,Service public,Transport,Métro De la Savane,De la Savane,Station de métro,8261,Boulevard Décarie,0, ,Montréal,H4P 2H7,Côte-des-Neiges–Notre-Dame-de-Grâce,niveau 1,-73.66161463,45.50037789
3252,Service public,Transport,Métro Du Collège,Du Collège,Station de métro,1490,Rue du Collège,0, ,Montréal,H4L 2L7,Saint-Laurent,niveau 1,-73.6746882,45.50946093
3253,Service public,Transport,Métro Henri-Bourassa,Henri-Bourassa,Station de métro,575,Boulevard Henri-Bourassa Est,0, ,Montréal,H3L 1C5,Ahuntsic-Cartierville,niveau 1,-73.66745529,45.55598634
3254,Service public,Transport,Métro Côte-Vertu,Côte-Vertu,Station de métro,1515,Boulevard Côte-Vertu,0, ,Montréal,H4L 4W2,Saint-Laurent,niveau 1,-73.68308867,45.51423115
3255,Service public,Transport,Métro Sauvé,Sauvé,Station de métro,9800,Rue Berri,0, ,Montréal,H3L 2G4,Ahuntsic-Cartierville,niveau 1,-73.65651772,45.55066996
3256,Service public,Transport,Métro Crémazie,Crémazie,Station de métro,505,Boulevard Crémazie Est,0, ,Montréal,H2M 1L7,Ahuntsic-Cartierville,niveau 1,-73.63893061,45.54604394
3257,Service public,Transport,Métro Jarry,Jarry,Station de métro,504,Rue Jarry Est,0, ,Montréal,H2P 2Y3,Villeray–Saint-Michel–Parc-Extension,niveau 1,-73.6283812,45.54330484
3258,Service public,Transport,Métro Jean-Talon,Jean-Talon,Station de métro,430,Rue Jean-Talon,0, ,Montréal,H2R 1T5,Rosemont–La Petite-Patrie,niveau 1,-73.61380668,45.53867862
3259,Service public,Transport,Métro Beaubien,Beaubien,Station de métro,6530,Avenue Chateaubriand,0, ,Montréal,H2S 2N7,Rosemont–La Petite-Patrie,niveau 1,-73.60424541,45.53540725
3260,Service public,Transport,Métro Rosemont,Rosemont,Station de métro,420,Boulevard Rosemont,0, ,Montréal,H2S 1Z3,Rosemont–La Petite-Patrie,niveau 1,-73.59770827,45.53125915
3261,Service public,Transport,Métro Laurier,Laurier,Station de métro,495,Rue Gilford,0, ,Montréal,H2J 1N4,Le Plateau-Mont-Royal,niveau 1,-73.5864066,45.52704156
3262,Service public,Transport,Métro Mont-Royal,Mont-Royal,Station de métro,470,Avenue du Mont-Royal Est,0, ,Montréal,H2J 1W4,Le Plateau-Mont-Royal,niveau 1,-73.58166251,45.52453717
3263,Service public,Transport,Métro Sherbrooke,Sherbrooke,Station de métro,3580,Rue Berri,0, ,Montréal,H2L 4T8,Le Plateau-Mont-Royal,niveau 1,-73.56824609,45.51827653
