ID,Famille,Catégorie,Nom français,Nom court,Type,Numéro,rue,Étage,Bureau,Ville,Code postal,Arrondissement,Classification,Longitude,Latitude
1,Culturel,Établissement culturel,Maison du Meunier,,Musée et centre d'interprétation / d'exposition,10897,Rue du Pont,0, ,Montréal,H2B 1Z4,Ahuntsic-Cartierville,niveau 3,-73.6611018,45.57486204
2,Culturel,Établissement culturel,Maison du Pressoir,,Musée et centre d'interprétation / d'exposition,10865,Rue du Pressoir,0, ,Montréal,H2B 2L1,Ahuntsic-Cartierville,niveau 3,-73.65955268,45.57596969
3,Commercial,Regroupement de commerces,Marché Central,,Centre commercial,9187,Boulevard de l'Acadie,0, ,Montréal,H4N 3K1,Ahuntsic-Cartierville,niveau 1,-73.65495592,45.53402302
4,Culturel,Établissement culturel,Musée des Sœurs de la Providence,,Musée et centre d'interprétation / d'exposition,12055 ,Rue Grenet,0, ,Montréal,H4J 2J5,Ahuntsic-Cartierville,niveau 3,-73.71363504,45.52937423
5,Récréatif / sportif,Parc et autre espace vert,Parc Ahuntsic,,Parc, , ,0, ,Montréal,H3L 2E5,Ahuntsic-Cartierville,niveau 2,-73.66471015,45.55580138
6,Récréatif / sportif,Parc et autre espace vert,Parc Alice-Nolin,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 3,-73.67015753,45.53370666
7,Récréatif / sportif,Parc et autre espace vert,Parc Avila-Vidal,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.69567023,45.52951049
8,Récréatif / sportif,Parc et autre espace vert,Parc Basile-Routhier,,Parc, , ,0, ,Montréal,H2C 1A5,Ahuntsic-Cartierville,niveau 2,-73.67214881,45.5578041
9,Récréatif / sportif,Parc et autre espace vert,Parc Beau-Bois,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.73290167,45.51793288
10,Récréatif / sportif,Parc et autre espace vert,Parc Belmont,,Parc, , ,0, ,Montréal,H4J 2L9,Ahuntsic-Cartierville,niveau 2,-73.72553931,45.5333557
11,Récréatif / sportif,Parc et autre espace vert,Parc Berthe-Louard,,Parc, , ,0, ,Montréal,H2M 2A7,Ahuntsic-Cartierville,niveau 2,-73.64231168,45.55920744
12,Récréatif / sportif,Parc et autre espace vert,Parc Camille,,Parc, , ,0, ,Montréal,H4K 1C8,Ahuntsic-Cartierville,niveau 3,-73.75275335,45.51043318
13,Récréatif / sportif,Parc et autre espace vert,Parc d'Auteuil,,Parc, , ,0, ,Montréal,H3L 1H4,Ahuntsic-Cartierville,niveau 2,-73.65680609,45.54887389
14,Récréatif / sportif,Parc et autre espace vert,Parc de Beauséjour,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.73197852,45.52770613
15,Récréatif / sportif,Parc et autre espace vert,Parc de Bordeaux,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.69979773,45.54188536
16,Récréatif / sportif,Parc et autre espace vert,Parc de la Merci,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.6937934,45.54705809
17,Récréatif / sportif,Parc et autre espace vert,Parc de Louisbourg,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.70806036,45.52851485
18,Récréatif / sportif,Parc et autre espace vert,Parc de Mésy,,Parc, , ,0, ,Montréal,H4J 2P4,Ahuntsic-Cartierville,niveau 2,-73.71714155,45.52958906
19,Récréatif / sportif,Parc et autre espace vert,Parc de Salaberry,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.694831,45.53924941
20,Récréatif / sportif,Parc et autre espace vert,Parc des Bateliers,,Parc, , ,0, ,Montréal,H3M 1A8,Ahuntsic-Cartierville,niveau 4,-73.70324622,45.54434203
21,Récréatif / sportif,Parc et autre espace vert,Parc des Hirondelles,,Parc, , ,0, ,Montréal,H2B 1L5,Ahuntsic-Cartierville,niveau 2,-73.64326678,45.57572562
22,Récréatif / sportif,Parc et autre espace vert,Parc François-Albert-Angers,,Parc, , ,0, ,Montréal,H2M 2K5,Ahuntsic-Cartierville,niveau 4,-73.6420127,45.55553817
23,Récréatif / sportif,Parc et autre espace vert,Parc Gabriel-Lalemant,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.64264001,45.57032162
24,Récréatif / sportif,Parc et autre espace vert,Parc Henri-Julien,,Parc, , ,0, ,Montréal,H2M 1P1,Ahuntsic-Cartierville,niveau 2,-73.64988623,45.54750823
25,Récréatif / sportif,Parc et autre espace vert,Parc Île Perry,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.69769965,45.5476036
26,Récréatif / sportif,Parc et autre espace vert,Parc J.-J.-Gagnier,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.64897071,45.58021545
27,Récréatif / sportif,Parc et autre espace vert,Parc Jean-Martucci,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.63533646,45.55607921
28,Récréatif / sportif,Parc et autre espace vert,Parc Jeanne-Sauvé,,Parc, , ,0, ,Montréal,H2C 3H5,Ahuntsic-Cartierville,niveau 2,-73.672116,45.55677408
29,Récréatif / sportif,Parc et autre espace vert,Parc Lefebvre,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.72254095,45.52739333
30,Récréatif / sportif,Parc et autre espace vert,Parc Lomer-Gouin,,Parc, , ,0, ,Montréal,H2B 1W9,Ahuntsic-Cartierville,niveau 2,-73.65883552,45.57318114
31,Récréatif / sportif,Parc et autre espace vert,Parc Louis-Hébert,,Parc, , ,0, ,Montréal,H2C 1A9,Ahuntsic-Cartierville,niveau 2,-73.66380225,45.56454467
32,Récréatif / sportif,Parc et autre espace vert,Parc Marcelin-Wilson,,Parc, , ,0, ,Montréal,H3M 2T1,Ahuntsic-Cartierville,niveau 2,-73.68230353,45.53610991
33,Récréatif / sportif,Parc et autre espace vert,Parc Maurice-Richard,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.67262846,45.55936265
34,Récréatif / sportif,Parc et autre espace vert,Parc Nicolas-Viel,,Parc, , ,0, ,Montréal,H3L 1H9,Ahuntsic-Cartierville,niveau 2,-73.67652045,45.55108642
35,Récréatif / sportif,Parc et autre espace vert,Parc Olympia-Gouin,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.6639716,45.56395111
36,Récréatif / sportif,Parc et autre espace vert,Parc Raimbault,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.71757422,45.53656005
37,Récréatif / sportif,Parc et autre espace vert,Parc Rosanne-Laflamme,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.69974432,45.52765273
38,Récréatif / sportif,Parc et autre espace vert,Parc Saint-Alphonse,,Parc, , ,0, ,Montréal,H2M 1X5,Ahuntsic-Cartierville,niveau 2,-73.63886939,45.54881667
39,Récréatif / sportif,Parc et autre espace vert,Parc Saint-André-Apôtre,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.67174295,45.54652596
40,Récréatif / sportif,Parc et autre espace vert,Parc Saint-Benoit,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.66570197,45.5410118
41,Récréatif / sportif,Parc et autre espace vert,Parc Sainte-Odile,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.70774507,45.53549856
42,Récréatif / sportif,Parc et autre espace vert,Parc Saint-Paul-de-la-Croix,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.65263282,45.56036758
43,Récréatif / sportif,Parc et autre espace vert,Parc Saint-Simon-Apôtre,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.6483985,45.54032134
44,Récréatif / sportif,Parc et autre espace vert,Parc du Sault-au-Récollet,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.6531792,45.5705529
45,Récréatif / sportif,Parc et autre espace vert,Parc Tolhurst,,Parc, , ,0, ,Montréal,H3L 1B9,Ahuntsic-Cartierville,niveau 2,-73.66530524,45.54403686
46,Récréatif / sportif,Parc et autre espace vert,Parc Victor-Barbeau,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.63116599,45.55693036
47,Récréatif / sportif,Parc et autre espace vert,Parc Zotique-Racicot,,Parc, , ,0, ,Montréal,H3L 3M7,Ahuntsic-Cartierville,niveau 2,-73.68896399,45.54266356
48,Récréatif / sportif,Parc et autre espace vert,Parc-école Gilles Vigneault,,Parc, , ,0, ,Montréal,H3M 1Z7,Ahuntsic-Cartierville,niveau 3,-73.69186778,45.53140824
50,Récréatif / sportif,Parc et autre espace vert,Parc-nature de Bois-de-Saraguay,,Parc, , ,0, ,Montréal,H4K 1C2,Ahuntsic-Cartierville,niveau 1,-73.74034796,45.51533507
51,Récréatif / sportif,Parc et autre espace vert,Parc-nature de l'ile-de-la-Visitation,,Parc, ,Boulevard Gouin Est,0, ,Montréal,H2B 1X7,Ahuntsic-Cartierville,niveau 1,-73.65978156,45.57769012
52,Récréatif / sportif,Équipement sportif et récréatif,Aréna Ahuntsic,,Centre sportif intérieur,10560,Rue Saint-Hubert,0, ,Montréal,H2C 2H7,Ahuntsic-Cartierville,niveau 3,-73.66406677,45.55715533
53,Récréatif / sportif,Équipement sportif et récréatif,Aréna Marcelin-Wilson,,Centre sportif intérieur,11301,Boulevard de l'Acadie,0, ,Montréal,H3M 2T1,Ahuntsic-Cartierville,niveau 2,-73.68489752,45.5366783
54,Récréatif / sportif,Équipement sportif et récréatif,Aréna Michel-Normandin,,Centre sportif intérieur,850,Avenue Émile-Journault,0, ,Montréal,H2M 2E2,Ahuntsic-Cartierville,niveau 3,-73.63738166,45.55136871
55,Récréatif / sportif,Parc et autre espace vert,Boisé-de-Saint-Sulpice,,Parc, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.63973914,45.55450057
56,Service public,Transport,Pôle Promenade Fleury,,Pôle de mobilité, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 3,-73.65884688,45.55844896
57,Service public,Transport,Pôle Terminus Henri-Bourassa,,Pôle de mobilité, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 3,-73.66732681,45.5563594
58,Service public,Service gouvernemental,Carrefour Jeunesse Emploi Ahuntsic-Bordeaux-Cartierville,Carrefour Jeunesse-Emploi,Centre de service gouvernemental,10794,Rue Lajeunesse,0, ,Montréal,H3L 2E8,Ahuntsic-Cartierville,niveau 2,-73.66997923,45.55556248
59,Service public,Service d'urgence,Poste de quartier 10,,Police de quartier,11756,Boulevard O'Brien,0, ,Montréal,H4J 1Y8,Ahuntsic-Cartierville,niveau 3,-73.70118628,45.52849196
60,Service public,Service d'urgence,Poste de quartier 27,,Police de quartier,1805,Rue Fleury Est,0, ,Montréal,H2B 1H7,Ahuntsic-Cartierville,niveau 3,-73.65352546,45.56848907
61,Service public,Établissement scolaire,Collège Ahuntsic,,Cégep et université,9155,Rue Saint-Hubert,0, ,Montréal,H2M 1Y8,Ahuntsic-Cartierville,niveau 1,-73.64241546,45.55171001
62,Service public,Établissement scolaire,CÉGEP de Bois-de-Boulogne,,Cégep et université,10555,Avenue de Bois de Boulogne,0, ,Montréal,H4N 1L4,Ahuntsic-Cartierville,niveau 1,-73.67579566,45.53806685
63,Service public,Service gouvernemental,Centre local d'emploi d'Ahuntsic,Centre local d'emploi,Centre de service gouvernemental,10520,Boulevard de l'Acadie,0, ,Montréal,H4N 1L9,Ahuntsic-Cartierville,niveau 2,-73.67819926,45.53279271
64,Service public,Établissement scolaire,Centre pédagogique Lucien-Guilbault,,École secondaire et professionnelle,3165,Rue de Louvain Est,0, ,Montréal,H1Z 1J7,Ahuntsic-Cartierville,niveau 4,-73.63137977,45.57243058
65,Culturel,Bibliothèque,Bibliothèque d'Ahuntsic,,Bibliothèque publique,10300,Rue Lajeunesse,0, ,Montréal,H3L 2E5,Ahuntsic-Cartierville,niveau 1,-73.6627242,45.55339384
66,Culturel,Bibliothèque,Bibliothèque de Cartierville,,Bibliothèque publique,5900,Rue De Salaberry,0, ,Montréal,H4J 1J8,Ahuntsic-Cartierville,niveau 1,-73.71292986,45.52728208
67,Culturel,Bibliothèque,Bibliothèque de Salaberry,,Bibliothèque publique,4170,Rue De Salaberry,0, ,Montréal,H4J 1H1,Ahuntsic-Cartierville,niveau 1,-73.70382238,45.53462114
68,Service public,Service de santé,CLSC d'Ahuntsic,,CLSC,1165,Boulevard Henri-Bourassa Est,0, ,Montréal,H2C 3K2,Ahuntsic-Cartierville,niveau 3,-73.66605346,45.56120686
69,Service public,Service de santé,CLSC de Bordeaux-Cartierville,,CLSC,11822,Avenue de Bois-de-Boulogne,0, ,Montréal,H3M 2X6,Ahuntsic-Cartierville,niveau 3,-73.69022082,45.54112819
70,Service public,Établissement scolaire,Collège André-Grasset,,Cégep et université,1001,Boulevard Crémazie Est,0, ,Montréal,H2M 1M3,Ahuntsic-Cartierville,niveau 4,-73.63280629,45.55086017
71,Service public,Établissement scolaire,Collège Mont-Saint-Louis,,École secondaire et professionnelle,1700,Boulevard Henri-Bourassa Est,0, ,Montréal,H2C 1J3,Ahuntsic-Cartierville,niveau 4,-73.65828812,45.56921939
72,Service public,Établissement scolaire,Collège Regina Assumpta,,École secondaire et professionnelle,1750,Rue Sauriol Est,0, ,Montréal,H2C 1X4,Ahuntsic-Cartierville,niveau 4,-73.65021951,45.56531721
73,Service public,Établissement scolaire,Collège Sainte-Marceline,,École secondaire et professionnelle,9155,Boulevard Gouin Ouest,0, ,Montréal,H4K 1C3,Ahuntsic-Cartierville,niveau 4,-73.74658415,45.51637994
74,Récréatif / sportif,Équipement sportif et récréatif,Complexe aquatique Gabriel-Lalement,,Piscine extérieure,2350,Rue Sauvé Est,0, ,Montréal,H2B 1B2,Ahuntsic-Cartierville,niveau 1,-73.64272731,45.57129281
75,Récréatif / sportif,Équipement sportif et récréatif,Complexe aquatique Marcelin-Wilson,,Piscine extérieure,1655,Rue Dudemaine,0, ,Montréal,H3M 1R2,Ahuntsic-Cartierville,niveau 1,-73.68846045,45.53912734
76,Récréatif / sportif,Équipement sportif et récréatif,Complexe sportif Claude-Robillard,,Centre sportif intérieur,1000 ,Avenue Émile-Journault,0, ,Montréal,H2M 2E7,Ahuntsic-Cartierville,niveau 1,-73.63719092,45.55284881
77,Service public,Transport,Pôle Secteur Chabanel,,Pôle de mobilité, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 3,-73.65282117,45.54122903
78,Service public,Service de santé,CSSS d'Ahuntsic et Montréal-Nord,,CSSS,1725,Boulevard Gouin Est,0, ,Montréal,H2C 1C2,Ahuntsic-Cartierville,niveau 3,-73.66208576,45.56810384
79,Service public,Service de santé,CSSS de Bordeaux-Cartierville-Saint-Laurent,,CSSS,555,Boulevard Gouin Ouest,0, ,Montréal,H3L 1K5,Ahuntsic-Cartierville,niveau 3,-73.68758675,45.54732579
80,Service public,Transport,Pôle Complexe sportif Claude Robillard,,Pôle de mobilité, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 3,-73.63845545,45.55316697
81,Service public,Établissement scolaire,École François-de-Laval,,École primaire,12050,Avenue Bois-de-Boulogne,0, ,Montréal,H3M 2X9,Ahuntsic-Cartierville,niveau 4,-73.69605933,45.54304885
82,Service public,Établissement scolaire,École Gilles Vigneault,,École primaire,11400,Avenue de Poutrincourt,0, ,Montréal,H3M 1Z7,Ahuntsic-Cartierville,niveau 4,-73.69180748,45.53179384
83,Service public,Établissement scolaire,Académie John Caboto Academy,,École primaire,8955,Rue Meunier,0, ,Montréal,H2N 1W3,Ahuntsic-Cartierville,niveau 4,-73.64830207,45.53940026
84,Service public,Établissement scolaire,École La Dauversière,,École secondaire et professionnelle,11600,Boulevard de l’Acadie,0, ,Montréal,H3M 2T2,Ahuntsic-Cartierville,niveau 3,-73.68852911,45.53721999
85,Service public,Établissement scolaire,École La Visitation,,École primaire,10591,Rue Séguin,0, ,Montréal,H2B 2B8,Ahuntsic-Cartierville,niveau 4,-73.6561191,45.57081944
86,Service public,Établissement scolaire,École Louisbourg,,École primaire,11880,Rue Michel Sarrazin,0, ,Montréal,H4J 2G7,Ahuntsic-Cartierville,niveau 4,-73.70976786,45.52701079
87,Service public,Établissement scolaire,École Louis-Colin,,École primaire,10122,Boulevard Olympia,0, ,Montréal,H2C 2V9,Ahuntsic-Cartierville,niveau 4,-73.65453742,45.56089777
88,Service public,Établissement scolaire,École Marie-Anne,,École secondaire et professionnelle,100,Rue Sauvé Est,0, ,Montréal,H3L 1H1,Ahuntsic-Cartierville,niveau 4,-73.6585409,45.5476734
89,Service public,Établissement scolaire,"École Pasteur, Pavillon Khalil Gibran",,École secondaire et professionnelle,12345,Avenue de la Miséricorde,0, ,Montréal,H4J 2E8,Ahuntsic-Cartierville,niveau 4,-73.71861124,45.5342139
90,Service public,Établissement scolaire,École Pasteur (pavillon Victor-Hugo),,École primaire,12525,Rue Lachapelle,0, ,Montréal,H4J 2N2,Ahuntsic-Cartierville,niveau 4,-73.72606116,45.53191122
91,Service public,Établissement scolaire,École Saint-André-Apôtre,,École primaire,215,Rue Prieur Ouest,0, ,Montréal,H3L 1R7,Ahuntsic-Cartierville,niveau 4,-73.6702796,45.54653167
92,Service public,Établissement scolaire,École Saint-Antoine-Marie-Claret,,École primaire,10600,Avenue Larose,0, ,Montréal,H2B 1R3,Ahuntsic-Cartierville,niveau 4,-73.64973365,45.57987594
93,Service public,Établissement scolaire,École Saint-Benoît,,École primaire,500,Avenue du Mont-Cassin,0, ,Montréal,H3L 1W6,Ahuntsic-Cartierville,niveau 4,-73.66736517,45.54158019
94,Service public,Établissement scolaire,École Sainte-Odile,,École primaire,12055,Rue Dépatie,0, ,Montréal,H4J 1W9,Ahuntsic-Cartierville,niveau 4,-73.70694156,45.53449694
95,Service public,Établissement scolaire,"École Sainte-Odile, annexe",,École primaire,12330,Rue Lavigne,0, ,Montréal,H4J 1Y4,Ahuntsic-Cartierville,niveau 4,-73.71268378,45.53667449
96,Service public,Établissement scolaire,École Saint-Isaac-Jogues,,École primaire,9355,Avenue de Galinée,0, ,Montréal,H2M 2A7,Ahuntsic-Cartierville,niveau 4,-73.64294464,45.55950182
97,Service public,Établissement scolaire,École Saint-Paul-de-la-Croix,,École primaire,10495,Avenue Georges Baril,0, ,Montréal,H2C 2N1,Ahuntsic-Cartierville,niveau 4,-73.66129218,45.55933379
98,Service public,Établissement scolaire,École Saint-Simon-Apôtre,,École primaire,195,Rue de Beauharnois Ouest,0, ,Montréal,H2N 1K1,Ahuntsic-Cartierville,niveau 4,-73.64709387,45.5396347
99,Service public,Établissement scolaire,École Saints-Martyrs-Canadiens,,École primaire,9920,Rue Parthenais,0, ,Montréal,H2B 2L4,Ahuntsic-Cartierville,niveau 4,-73.64600043,45.5704617
100,Service public,Établissement scolaire,École secondaire Duval,,École secondaire et professionnelle,260,Boulevard Henri-Bourassa Est,0, ,Montréal,H3L 1B8,Ahuntsic-Cartierville,niveau 4,-73.66922675,45.55249785
101,Service public,Établissement scolaire,L.I.N.K.S. High School,,École secondaire et professionnelle,9905,Avenue Papineau,0, ,Montréal,H2B 1Z9,Ahuntsic-Cartierville,niveau 3,-73.64879953,45.56653747
102,Service public,Établissement scolaire,École Sophie-Barat,,École secondaire et professionnelle,1239,Boulevard Gouin Est,0, ,Montréal,H2C 1B3,Ahuntsic-Cartierville,niveau 4,-73.66729716,45.56196391
103,Service public,Établissement scolaire,École Sophie-Barat annexe,,École secondaire et professionnelle,750,Boulevard Gouin Est,0, ,Montréal,H2C 1A6,Ahuntsic-Cartierville,niveau 4,-73.66811601,45.55828504
104,Service public,Établissement scolaire,École St.Raphaël School,,École primaire,8380,Avenue Wiseman,0, ,Montréal,H3N 1E3,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.64082568,45.53008218
106,Service public,Service gouvernemental,Établissement de détention de Montréal (Bordeaux),,Centre de service gouvernemental,800,Boulevard Gouin Ouest,0, ,Montréal,H3L 1K7,Ahuntsic-Cartierville,niveau 4,-73.68582831,45.54542922
108,Commercial,Regroupement de commerces,Galeries Normandie,,Centre commercial,2620,Rue De Salaberry,0, ,Montréal,H3M 1L3,Ahuntsic-Cartierville,niveau 2,-73.6990882,45.53672026
109,Service public,Service de santé,Hôpital du Sacré-Cœur de Montréal (urgence 24 h),Hôpital du Sacré-Cœur,Hôpital,5400,Boulevard Gouin Ouest,0, ,Montréal,H4J 1C5,Ahuntsic-Cartierville,niveau 1,-73.71430548,45.53272894
110,Service public,Service de santé,Hôpital Fleury (urgence 24 h),Hôpital Fleury,Hôpital,2180,Rue Fleury Est,0, ,Montréal,H2B 1K3,Ahuntsic-Cartierville,niveau 2,-73.65026008,45.57194518
111,Service public,Établissement scolaire,Institut culinaire Saint-Pius X,,École secondaire et professionnelle,9955,Avenue Papineau,0, ,Montréal,H2B 1Z9,Ahuntsic-Cartierville,niveau 3,-73.64924746,45.56672735
113,Récréatif / sportif,Parc et autre espace vert,Jardin communautaire Ahuntsic,,Jardin communautaire, ,Rues Sackville / Prieur,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.64896498,45.57789947
114,Récréatif / sportif,Parc et autre espace vert,Jardin communautaire Christ-Roi,,Jardin communautaire, ,"Rue Frémont, entre les avenues Millen et De Chateaubriand",0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.65179778,45.55272205
115,Récréatif / sportif,Parc et autre espace vert,Jardin communautaire Deschamps,,Jardin communautaire, ,"Rue Poincarré, près de la Rue De Salaberry",0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.69504991,45.54444878
116,Récréatif / sportif,Parc et autre espace vert,Jardin communautaire Gérard-Legault,,Jardin communautaire, ,"Rue Dudemaine, près de la Rue Michel-Sarrazin",0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.70628703,45.52464714
118,Récréatif / sportif,Parc et autre espace vert,Jardin communautaire Marcelin-Wilson,,Jardin communautaire, ,"Boulevard de l’Acadie, entre le Boulevard Henri-Bourassa et la Rue Dudemaine",0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.68305884,45.5370674
119,Récréatif / sportif,Parc et autre espace vert,Jardin communautaire Pierre-Lapointe,,Jardin communautaire, ,à l'angle de l'Avenue Durham et du Boulevard Henri-Bourassa ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.66598712,45.55714504
120,Récréatif / sportif,Parc et autre espace vert,Jardin communautaire Saint-Sulpice,,Jardin communautaire, ,à l'angle de la Rue Émile-Journault et l'Avenue André-Grasset,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.63534735,45.55688825
121,Récréatif / sportif,Parc et autre espace vert,Jardin communautaire Sault-au-Récollet,,Jardin communautaire, ,"Parc de l’Île-de-la-Visitation, près du Pressoir",0, ,Montréal, ,Ahuntsic-Cartierville,niveau 4,-73.65983497,45.5761795
122,Culturel,Bâtiment et lieu d'intérêt,Église de la Visitation,,Bâtiment historique / patrimonial,1847,Boulevard Gouin Est,0, ,Montréal,H2C 1C8,Ahuntsic-Cartierville,niveau 4,-73.66139967,45.57045843
132,Culturel,Art public,"Francine Larrivée, La réparation, 1998",La réparation,Art public, , ,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 3,-73.68000708,45.53499221
133,Récréatif / sportif,Équipement sportif et récréatif,Piscine du Complexe sportif Claude-Robillard,,Piscine intérieure,1000,Avenue Émile-Journault,0, ,Montréal,H2M 2E7,Ahuntsic-Cartierville,niveau 2,-73.63747248,45.55265248
134,Récréatif / sportif,Équipement sportif et récréatif,Piscine Sophie-Barat,,Piscine intérieure,10851,Avenue Saint-Charles,0, ,Montréal,H2C 2M3,Ahuntsic-Cartierville,niveau 3,-73.66804477,45.56178114
136,Commercial,Regroupement de commerces,Promenade Fleury,,Artère commerciale, ,Rue Saint-Hubert à Avenue Papineau,0, ,Montréal, ,Ahuntsic-Cartierville,niveau 2,-73.65732413,45.56127127
137,Service public,Service municipal,Service à la communauté (région nord),Service à la communauté (nord),Service communautaire,855,Boulevard Crémazie Est,0, ,Montréal,H2M 2T7,Ahuntsic-Cartierville,niveau 3,-73.63504706,45.54972076
138,Culturel,Bâtiment et lieu d'intérêt,Site des Moulins,,Bâtiment historique / patrimonial,10897,Rue du Pont,0, ,Montréal,H2B 2N5,Ahuntsic-Cartierville,niveau 4,-73.66189454,45.57503943
139,Récréatif / sportif,Équipement sportif et récréatif,Piscine YMCA Cartierville,,Piscine intérieure,11885,Boulevard Laurentien,0, ,Montréal,H4J 2R5,Ahuntsic-Cartierville,niveau 3,-73.71090148,45.52521702
140,Récréatif / sportif,Équipement communautaire,Centre communautaire d'Ahuntsic,,Organisme communautaire et centre de loisirs,10780,Rue Laverdure,0, ,Montréal,H3L 2L9,Ahuntsic-Cartierville,niveau 3,-73.67160982,45.55236324
141,Récréatif / sportif,Équipement communautaire,Centre communautaire de Bordeau-Cartierville,,Organisme communautaire et centre de loisirs,1405,Boulevard Henri-Bourassa Ouest,0, ,Montréal,H3M 3B2,Ahuntsic-Cartierville,niveau 3,-73.67855029,45.53922126
142,Service public,Service municipal,Bureau Accès Montréal d'Ahuntsic-Cartierville,Bureau Accès Montréal,Bureau Accès Montréal et bureaux municipaux,555,Rue Chabanel Ouest,0, ,Montréal,H2N 2H8,Ahuntsic-Cartierville,niveau 2,-73.65525367,45.53813337
143,Service public,Service municipal,Bureau d'arrondissement d'Ahuntsic-Cartierville,Bureau d'arrondissement,Bureau Accès Montréal et bureaux municipaux,555,Rue Chabanel Ouest,0, ,Montréal,H2N 2H8,Ahuntsic-Cartierville,niveau 1,-73.65525367,45.53813337
144,Service public,Service municipal,Écocentre Acadie,Écocentre,Centre de récupération et de tri,1200,Boulevard Henri-Bourassa Ouest,0, ,Montréal,H3M 3G1,Ahuntsic-Cartierville,niveau 3,-73.67675677,45.53983008
145,Service public,Service municipal,"Ville en vert, éco-quartier Ahuntsic-Cartierville, point de service Gouin Ouest",Éco-quartier,Éco-quartier,5765,Boulevard Gouin Ouest,0, ,Montréal,H4J 1E2,Ahuntsic-Cartierville,niveau 3,-73.71956237,45.53262421
146,Service public,Service municipal,"Ville en vert, éco-quartier Ahuntsic-Cartierville, point de service Lajeunesse",Éco-quartier,Éco-quartier,10416,Rue Lajeunesse,0, ,Montréal,H3L 2E5,Ahuntsic-Cartierville,niveau 3,-73.66429816,45.55388259
147,Récréatif / sportif,Équipement communautaire,Centre culturel de Cartierville,,Organisme communautaire et centre de loisirs,5945,Boulevard Gouin Ouest,0, ,Montréal,H4J 1E5,Ahuntsic-Cartierville,niveau 3,-73.7215111,45.53187112
148,Récréatif / sportif,Équipement communautaire,Centre de bocce de l'Acadie,,Organisme communautaire et centre de loisirs,10526,Boulevard de l’Acadie,0, ,Montréal,H4N 1L9,Ahuntsic-Cartierville,niveau 3,-73.67858801,45.53248214
149,Récréatif / sportif,Équipement communautaire,Centre de boxe Ring 83,,Organisme communautaire et centre de loisirs,9810,Rue Saint-Urbain,0, ,Montréal,H3L 2T2,Ahuntsic-Cartierville,niveau 4,-73.66011625,45.54483669
150,Récréatif / sportif,Équipement communautaire,Centre de loisirs U.F.A,,Organisme communautaire et centre de loisirs,161,Boulevard Henri-Bourassa Ouest,0, ,Montréal,H3L 1N2,Ahuntsic-Cartierville,niveau 3,-73.67272217,45.54794038
